Rank,slope
C,-7.428488235294087e-4
C-,1.8798545454545387e-4
NA,-1.002426415094358e-5
S,-0.0042731075000000006
A+,-0.0029678957142857173
A,-0.001433472500000001
A-,0.0030911975000000006
B+,-0.0020115000000000007
B,-5.5118749999980625e-6
B-,1.3208100000000196e-4
C+,-4.0434666666666527e-4
C,0.0013886464705882401
C-,-0.0013735254545454555
NA,-3.305322012578645e-5
S,-0.019652217500000003
A+,-0.006217132857142857
A,-5.390508333333387e-4
A-,-0.0011343858333333389
B+,0.0016182250000000016
B,-0.001191980624999999
B-,-0.0019472889999999994
C+,4.100666666666392e-5
C,0.0018866464705882353
C-,2.2918000000000087e-4
NA,-1.8284440251572936e-5
S,-0.002522257500000001
A+,0.0029099842857142886
A,-0.0010053408333333337
A-,0.0012154741666666655
B+,0.0010387199999999978
B,-7.580381249999978e-4
B-,-4.865509999999984e-4
C+,8.602800000000005e-4
C,5.971052941176547e-4
C-,0.0012146545454545454
NA,4.2934591194957063e-7
S,0.017747367500000003
A+,0.005782490000000002
A,0.0022563908333333377
A-,-0.001027109166666667
B+,-6.020074999999992e-4
B,4.3669937500000335e-4
B-,-6.872909999999986e-4
C+,5.932499999999971e-4
C,-2.026935294117621e-4
C-,-8.415818181818178e-4
NA,-1.2159735849056838e-5
S,0.008756287500000003
A+,-0.002778387142857135
A,-7.12280833333334e-4
A-,0.001601155833333335
B+,-6.04550000000001e-4
B,-1.4956812499999981e-4
B-,2.566350000000007e-4
C+,1.2447666666666647e-4
C,-0.0013132241176470525
C-,3.5763636363635625e-5
NA,-2.2965874213837007e-5
S,-0.015298832499999993
A+,7.700300000000046e-4
A,0.001197429166666662
A-,0.0013744791666666703
B+,7.938399999999993e-4
B,-7.298743750000006e-4
B-,-3.846329999999994e-4
C+,4.563033333333329e-4
C,8.476747058823558e-4
C-,8.898545454545415e-5
NA,-3.652836477987494e-5
S,0.012405097500000002
A+,0.0011998757142857143
A,-0.004039954166666663
A-,0.0012218508333333353
B+,8.013675000000007e-4
B,-9.775493749999988e-4
B-,-3.3960099999999943e-4
C+,7.673066666666651e-4
C,-0.0015343629411764654
C-,-0.0012922763636363638
NA,1.647991194968587e-5
S,0.007539572500000001
A+,-0.003868198571428568
A,0.0031226624999999993
A-,-0.0014040658333333402
B+,-6.561525000000015e-4
B,5.08618749999985e-5
B-,-0.0014036569999999987
C+,5.006000000000005e-4
C,-0.0013529864705882314
C-,-5.484581818181818e-4
NA,-5.429396226415599e-6
S,-0.0021951475000000034
A+,0.00294793571428571
A,-8.363775000000014e-4
A-,-0.0014311308333333286
B+,0.0028153849999999975
B,4.347118749999978e-4
B-,-1.4888299999999804e-4
C+,3.531800000000003e-4
C,6.242417647058875e-4
C-,-0.001087374545454545
NA,-2.093709433962318e-5
S,0.016576272500000006
A+,-0.0011963842857142762
A,-0.0011973224999999997
A-,3.3045916666666453e-4
B+,0.0013927349999999987
B,9.049243749999984e-4
B-,1.9105500000000133e-4
C+,1.4863333333331098e-5
C,-0.001376314705882349
C-,5.128072727272733e-4
NA,1.050270440251572e-5
S,0.024184642499999996
A+,-0.010225864285714278
A,4.4757499999995365e-5
A-,4.0022749999999926e-4
B+,2.2668000000000078e-4
B,0.0010019768750000007
B-,2.7416900000000043e-4
C+,4.285333333333124e-5
C,-9.204229411764648e-4
C-,-7.227436363636359e-4
NA,-3.120705660377393e-5
S,0.017326487500000005
A+,-0.0019602442857142763
A,-0.0017588041666666697
A-,-0.002718064166666674
B+,6.376824999999993e-4
B,-3.040406250000012e-4
B-,-4.041669999999983e-4
C+,2.899066666666685e-4
C,8.819770588235312e-4
C-,-0.0014866581818181815
NA,-2.952062893081943e-6
S,0.005101902500000001
A+,-8.480142857143381e-5
A,-8.389108333333341e-4
A-,0.0011906058333333279
B+,4.1939499999999884e-4
B,4.641968750000021e-4
B-,-2.6097099999999716e-4
C+,4.533633333333321e-4
C,-0.0013060005882352891
C-,-5.57521818181818e-4
NA,-5.340616352201472e-6
S,0.004878107499999998
A+,0.0020531014285714265
A,9.898358333333352e-4
A-,4.3748750000000003e-4
B+,-0.002663372500000002
B,-0.0012157756249999983
B-,8.921910000000013e-4
C+,-5.640266666666649e-4
C,-8.653899999999956e-4
C-,-6.004163636363642e-4
NA,1.4956088050314365e-5
S,-4.7014249999999827e-4
A+,-0.0014880585714285755
A,-0.0018517491666666611
A-,-0.001671844166666675
B+,-2.2917750000000015e-4
B,-3.4920937499999813e-4
B-,7.342450000000009e-4
C+,-2.144400000000011e-4
C,6.315588235294715e-5
C-,3.363636363636748e-6
NA,-1.3349421383648029e-5
S,-0.02789268750000001
A+,0.00470195
A,-0.0019622258333333318
A-,6.32629166666669e-4
B+,-0.002259659999999999
B,4.1592312499999924e-4
B-,-2.2613699999999833e-4
C+,-0.00154435
C,-7.295123529411706e-4
C-,1.300654545454548e-4
NA,-2.892466666666728e-5
S,-0.015091832499999994
A+,7.680557142857107e-4
A,-0.004182149166666671
A-,0.0012854191666666697
B+,8.495399999999989e-4
B,5.123931250000008e-4
B-,5.93997000000001e-4
C+,1.5854333333333018e-4
C,-0.0010412229411764676
C-,5.249381818181822e-4
NA,-4.6496641509434315e-5
S,-0.001608707500000005
A+,0.0015316557142857198
A,-0.0036585141666666664
A-,-0.0019653758333333326
B+,-0.0011831450000000007
B,0.0012086481250000003
B-,8.992700000000169e-5
C+,-2.326699999999988e-4
C,9.930523529411831e-4
C-,6.533127272727278e-4
NA,2.613062893081778e-5
S,2.7542749999999965e-4
A+,-7.587128571428474e-4
A,0.0016790941666666632
A-,-0.001330824166666673
B+,-0.0020252724999999987
B,2.896081249999983e-4
B-,0.002134131000000001
C+,5.064666666666676e-4
C,1.671511764705913e-4
C-,-6.63652727272728e-4
NA,2.4585823899371225e-5
S,-0.018801257499999998
A+,-0.0028645042857142777
A,0.0010608425000000045
A-,0.0020535108333333313
B+,-6.889075000000013e-4
B,1.751393750000023e-4
B-,-0.0012048929999999981
C+,-1.0200000000000228e-4
C,-3.2155470588234877e-4
C-,-8.149127272727271e-4
NA,3.535610062892968e-6
S,0.002731792500000004
A+,0.0020020585714285713
A,8.23950833333333e-4
A-,-2.7869583333333363e-4
B+,0.0010726749999999958
B,-5.796874999998125e-6
B-,0.0011383890000000022
C+,-5.00260000000002e-4
C,8.11825294117654e-4
C-,7.362527272727275e-4
NA,-4.701704402515869e-5
S,-0.0018441674999999974
A+,-0.005067581428571425
A,0.0025589108333333374
A-,-5.109441666666709e-4
B+,0.0011702124999999964
B,3.6475562499999916e-4
B-,3.277750000000013e-4
C+,1.3541666666666796e-4
C,-8.520970588235257e-4
C-,6.851599999999993e-4
NA,1.5948289308176157e-5
S,-0.0153106525
A+,0.006692747142857141
A,0.005558684166666674
A-,-0.00280479583333334
B+,-0.0024965749999999987
B,4.6053687500000187e-4
B-,-0.0018673629999999984
C+,2.6065666666666784e-4
C,0.0010915747058823607
C-,7.118854545454551e-4
NA,-1.583337106918307e-5
S,0.0154456625
A+,0.0014699128571428607
A,0.0022687241666666663
A-,4.6542416666666477e-4
B+,2.8462000000000284e-4
B,5.485481250000011e-4
B-,-7.933449999999986e-4
C+,1.5304000000000096e-4
C,0.001300031176470597
C-,-1.4147636363636348e-4
NA,-1.7639081761006838e-5
S,-0.006606492499999993
A+,0.0033690471428571415
A,-9.285074999999969e-4
A-,-6.696874999999963e-4
B+,-0.0023915624999999983
B,7.420043749999984e-4
B-,0.0012973730000000008
C+,-5.358099999999983e-4
C,2.409817647058881e-4
C-,-2.644618181818176e-4
NA,-1.5365974842767734e-5
S,0.0026804775000000064
A+,-0.009700209999999994
A,0.0044486841666666705
A-,-6.838558333333298e-4
B+,5.753149999999987e-4
B,-0.0013411968749999993
B-,2.2705900000000146e-4
C+,-0.0012776199999999995
C,-0.0017222723529411717
C-,-0.001036158181818182
NA,-6.209018867924811e-6
S,0.015688712500000007
A+,0.0010101385714285766
A,-0.0035860741666666673
A-,0.0014629841666666632
B+,0.001808769999999998
B,-2.743812500000019e-5
B-,-0.0014356709999999982
C+,1.4201333333333194e-4
C,-7.015570588235257e-4
C-,0.0013740399999999995
NA,3.887509433962103e-6
S,-0.012557087500000003
A+,0.005119818571428572
A,0.003826855833333336
A-,4.90259166666664e-4
B+,-0.0014472275000000003
B,-5.585818749999983e-4
B-,-0.0010723069999999991
C+,7.285199999999976e-4
C,-7.914370588235253e-4
C-,1.7090909090912555e-6
NA,4.67937987421386e-5
S,0.004689767500000002
A+,-0.004118581428571418
A,3.248141666666684e-4
A-,0.0010214008333333316
B+,0.0026127325
B,-2.0527062499999917e-4
B-,4.0162900000000236e-4
C+,-2.4237333333333223e-4
C,1.550476470588261e-4
C-,-8.37732727272727e-4
NA,3.915383647798627e-6
S,-0.0038755324999999994
A+,0.0044534528571428585
A,0.005558942499999997
A-,0.0012181724999999995
B+,7.982999999999863e-5
B,-4.733318749999997e-4
B-,-2.780099999999878e-5
C+,-1.6618666666666715e-4
C,-7.703235294116974e-5
C-,6.47443636363636e-4
NA,6.502477987421445e-6
S,0.006742292500000002
A+,0.004799592857142858
A,-0.0011197824999999975
A-,0.004714127499999995
B+,-0.0015447549999999984
B,-1.88118750000018e-5
B-,-5.796099999999867e-5
C+,4.069699999999979e-4
C,-7.652041176470535e-4
C-,-6.291181818181811e-4
NA,4.4682628930817816e-5
S,0.005632522500000001
A+,-0.00737285571428572
A,-0.0024085175
A-,0.0014942674999999974
B+,6.140499999999997e-4
B,2.540093750000007e-4
B-,7.056100000000217e-5
C+,-7.993000000000186e-5
C,-7.977817647058771e-4
C-,2.8576363636363683e-4
NA,-7.869320754717178e-6
S,0.012415432500000002
A+,-5.138728571428536e-4
A,-0.002251454166666662
A-,0.003936727499999997
B+,-9.593800000000008e-4
B,-5.601856249999993e-4
B-,-8.023549999999988e-4
C+,-1.4049000000000117e-4
C,-3.798017647058782e-4
C-,3.002018181818176e-4
NA,-3.969767295597605e-5
S,-2.492075000000002e-4
A+,0.006203444285714282
A,-0.0034829374999999986
A-,0.0034529591666666686
B+,-0.002648640000000004
B,9.104256249999995e-4
B-,3.7924900000000007e-4
C+,-4.568666666666678e-4
C,6.561182352941227e-4
C-,2.64107272727272e-4
NA,-2.2633836477989387e-6
S,0.013665627500000003
A+,8.48998571428578e-4
A,-0.0027927074999999986
A-,-0.002454125833333341
B+,-0.0015807299999999996
B,-0.0010207856249999981
B-,0.0020305210000000013
C+,7.080099999999989e-4
C,5.267794117647109e-4
C-,-4.649654545454553e-4
NA,2.841264150943404e-5
S,-0.015025872500000008
A+,-0.003917718571428569
A,1.7284166666670346e-5
A-,5.222674999999947e-4
B+,2.704999999999992e-4
B,6.426368750000007e-4
B-,-0.001120946999999998
C+,-5.558299999999999e-4
C,6.624747058823553e-4
C-,-6.991545454545463e-4
NA,-2.931118238993808e-5
S,0.005091312499999996
A+,-9.927842857142847e-4
A,-0.0017456941666666673
A-,0.00165937083333333
B+,0.0024094825
B,1.674243749999977e-4
B-,1.6254700000000022e-4
C+,5.498999999999984e-4
C,0.0012307676470588288
C-,-7.322109090909095e-4
NA,3.0213974842767518e-5
S,-0.01268128750000001
A+,-0.0020756471428571384
A,-2.0299416666666226e-4
A-,0.0015935191666666651
B+,0.0015787325000000013
B,7.587118750000014e-4
B-,-0.001675898999999996
C+,7.068900000000007e-4
C,-0.0010871299999999963
C-,0.001393189090909091
NA,-1.629593710691888e-5
S,0.033895017500000006
A+,-0.004917175714285718
A,8.365041666666662e-4
A-,-0.0029605341666666726
B+,1.8370500000000102e-4
B,-8.563881249999993e-4
B-,-3.213649999999978e-4
C+,-4.903300000000021e-4
C,-0.0010065417647058784
C-,-0.0014821090909090911
NA,-2.8816163522013123e-5
S,-0.011675552500000007
A+,-0.004890955714285715
A,-0.002632860833333332
A-,-0.0013923608333333384
B+,0.0013704199999999978
B,9.700031250000014e-4
B-,-7.750190000000001e-4
C+,8.656999999999975e-4
C,2.946735294117673e-4
C-,-2.082963636363629e-4
NA,1.250630188679234e-5
S,-0.008203522500000003
A+,5.83804285714285e-4
A,-0.0019658208333333304
A-,-8.175275000000043e-4
B+,0.0020662975
B,-5.778306250000027e-4
B-,2.0875100000000148e-4
C+,5.061766666666674e-4
C,3.056535294117721e-4
C-,-7.425127272727275e-4
NA,-4.00170691823909e-5
S,-0.008325567500000006
A+,-0.009044432857142862
A,0.0018939591666666707
A-,0.004302739166666665
B+,0.002924749999999999
B,-4.225006249999982e-4
B-,7.225290000000012e-4
C+,1.1837666666666775e-4
C,-0.001004095882352936
C-,-2.4144545454545468e-4
NA,-6.796851572327058e-5
S,0.011379822500000004
A+,-0.0027454414285714296
A,8.112441666666625e-4
A-,0.001526019166666666
B+,-5.069875000000009e-4
B,-6.448131249999998e-4
B-,1.931830000000001e-4
C+,5.2376666666664826e-5
C,3.123029411764744e-4
C-,-6.760127272727281e-4
NA,-2.1994150943396935e-5
S,-0.013611602500000007
A+,-0.0018362071428571357
A,2.0326916666666778e-4
A-,9.191041666666667e-4
B+,0.0010206724999999993
B,-7.520187499999928e-5
B-,7.835770000000006e-4
C+,-4.984800000000024e-4
C,8.276500000000007e-4
C-,2.968709090909083e-4
NA,3.142016352201336e-5
S,-0.0180785725
A+,-0.003519952857142853
A,-0.0032833941666666716
A-,-8.752041666666706e-4
B+,0.0015427424999999984
B,-2.7279375000000295e-5
B-,-6.781269999999991e-4
C+,2.0203666666666724e-4
C,-6.610841176470527e-4
C-,9.564909090909115e-5
NA,6.8642893081761535e-6
S,-0.013361182500000004
A+,-0.002764669999999995
A,-0.0018489075000000048
A-,4.863008333333311e-4
B+,-2.3579250000000117e-4
B,1.8968750000011352e-6
B-,-6.728549999999987e-4
C+,-6.846199999999997e-4
C,2.9728529411765243e-4
C-,-6.261454545454558e-4
NA,-6.382603773585065e-6
S,-0.0017555124999999972
A+,4.472471428571455e-4
A,-1.757574999999994e-4
A-,-0.0021544825000000068
B+,-5.551225000000019e-4
B,2.4277937499999987e-4
B-,1.034750000000008e-4
C+,-2.5862666666666537e-4
C,-0.001455215882352938
C-,-2.3990181818181764e-4
NA,1.2256226415093362e-6
S,-0.011323952499999996
A+,0.0021151642857142857
A,-0.0017514908333333345
A-,-9.11108333333299e-5
B+,-0.0014483550000000019
B,5.804918749999987e-4
B-,0.0013890970000000006
C+,-2.4862666666666464e-4
C,9.86774705882359e-4
C-,-1.7243636363636387e-4
NA,1.8408088050314822e-5
S,0.0013830474999999998
A+,-0.009613498571428567
A,0.0019266091666666654
A-,-3.917024999999955e-4
B+,-4.080999999999997e-4
B,-8.477906249999987e-4
B-,-5.478299999999808e-5
C+,-1.4929999999998517e-5
C,0.0013053547058823607
C-,-3.481472727272729e-4
NA,5.183761006289171e-6
S,-0.0220663075
A+,-0.0028868271428571426
A,-3.002491666666657e-4
A-,-6.267250000000437e-5
B+,-0.0015564650000000004
B,-5.2694374999997825e-5
B-,0.0011860450000000019
C+,-9.875033333333323e-4
C,5.947358823529467e-4
C-,-0.0013037018181818185
NA,7.64851572327039e-6
S,-0.0078517575
A+,-0.0029531214285714205
A,-1.2976583333333057e-4
A-,5.174308333333312e-4
B+,0.001562579999999998
B,-3.6850312499999886e-4
B-,1.6841900000000165e-4
C+,-1.463566666666696e-4
C,-6.9952764705882e-4
C-,-7.884909090909093e-4
NA,-2.4584641509434492e-5
S,0.005970107500000001
A+,-0.006117932857142852
A,-0.0025117208333333345
A-,-0.002927137500000006
B+,0.0023889575
B,-4.895618750000031e-4
B-,1.44621000000002e-4
C+,3.5528000000000117e-4
C,0.0015886876470588233
C-,-9.346890909090909e-4
NA,-2.4818251572327442e-5
S,-0.022046632500000007
A+,0.005311792857142861
A,0.002478697499999998
A-,-0.0013127391666666705
B+,6.519049999999999e-4
B,-5.152437500000093e-5
B-,-1.182929999999984e-4
C+,-6.425400000000018e-4
C,8.511547058823538e-4
C-,-9.895254545454542e-4
